         341544 function calls (334336 primitive calls) in 17.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.003    0.003 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:705(__exit__)
      223    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_compile.py:292(_optimize_charset)
        2    0.001    0.000    0.001    0.000 {built-in method _winapi.WaitForSingleObject}
     1265    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:180(_is_type_in_scope)
      188    0.001    0.000    7.807    0.042 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_common.py:110(_wait_once)
   291/26    0.001    0.000    0.010    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:436(_parse_sub)
     5465    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     1798    0.001    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\plyparser.py:42(optrule)
       16    0.001    0.000    0.132    0.008 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:307(_parse)
     2148    0.001    0.000    0.007    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\plyparser.py:125(param_rule)
      719    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:523(p_translation_unit_2)
     2347    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      712    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:826(p_declaration_specifiers_6)
      759    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:902(p_init_declarator)
      701    0.001    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:779(p_declaration_specifiers_no_type_2)
      259    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        8    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       31    0.001    0.000    7.813    0.252 C:\Users\zas47\anaconda3\lib\site-packages\soniox\speech_service.py:132(TranscribeStream)
     2204    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:255(get)
     5437    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
   135/18    0.000    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
     2223    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\plyparser.py:20(__init__)
  895/375    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:81(__hash__)
     2285    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:257(lineno)
      759    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:893(p_init_declarator_list)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'grpc._cython.cygrpc.Channel' objects}
     2292    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:254(__len__)
      894    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_lexer.py:368(t_NEWLINE)
     1185    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:69(<listcomp>)
       30    0.000    0.000    0.000    0.000 D:\GitHub Repos\salespro\run copy.py:92(split_words)
     1185    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:68(_get_items)
      279    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_channel.py:811(_response_ready)
      734    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:161(_add_typedef_name)
      976    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:868(p_type_specifier)
     2061    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:250(match)
     2517    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       10    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\langchain\load\serializable.py:60(__init__)
       16    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
      963    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:339(<listcomp>)
      869    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1149(p_xxx_declarator_1)
     1265    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:199(_lex_type_lookup_func)
      204    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1256(p_pointer)
    46/38    0.000    0.000    0.015    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:745(_get_struct_union_enum_type)
       43    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     1901    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_ast.py:734(__init__)
        1    0.000    0.000    0.000    0.000 {method 'cancel' of 'grpc._cython.cygrpc.IntegratedCall' objects}
      735    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:754(p_declaration)
      119    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:589(global_cache)
       91    0.000    0.000    7.808    0.086 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_common.py:117(wait)
      850    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1143(p_declarator)
        1    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:313(set_defaulted_states)
      499    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:576(_extract_quals)
      230    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1627(p_typedef_name)
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
      701    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:836(p_storage_class_specifier)
      772    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      735    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:538(p_external_declaration_2)
       16    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:255(_common_type_names)
       16    0.000    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:189(_preprocess)
   290/88    0.000    0.000    0.003    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:56(get_cached_btype)
        6    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
     1000    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_ast.py:994(__init__)
       28    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       77    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:268(getuntil)
     1574    0.000    0.000    0.000    0.000 {built-in method builtins.min}
