         61553 function calls (60774 primitive calls) in 58.221 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.586    0.117 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\connection.py:356(connect)
        8    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\email\feedparser.py:471(_parse_headers)
      261    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      193    0.000    0.000    9.179    0.048 C:\Users\zas47\anaconda3\lib\ssl.py:1121(read)
      396    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pvcheetah\_cheetah.py:231(frame_length)
        4    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\ssl.py:1331(_real_close)
      405    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\typing.py:986(__setattr__)
       35    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\ctypes\__init__.py:391(__getitem__)
        8    0.000    0.000    9.271    1.159 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\connectionpool.py:522(urlopen)
      149    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\os.py:675(__getitem__)
       68    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\http\client.py:1238(putheader)
  453/437    0.000    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\typing.py:306(inner)
        5    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
      833    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
       16    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\langchain\load\serializable.py:64(to_json)
       16    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\email\feedparser.py:218(_parsegen)
  540/530    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      200    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\urllib\parse.py:114(_coerce_args)
        8    0.000    0.000    9.269    1.159 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\connectionpool.py:361(_make_request)
        4    0.000    0.000    4.963    1.241 C:\Users\zas47\anaconda3\lib\site-packages\langchain\chat_models\base.py:65(generate)
        4    0.000    0.000    0.000    0.000 {built-in method pyaudio._portaudio.terminate}
      103    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\typing.py:146(_type_check)
        8    0.000    0.000    8.678    1.085 C:\Users\zas47\anaconda3\lib\http\client.py:278(_read_status)
      344    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        4    0.000    0.000    0.000    0.000 {function socket.close at 0x0000027C34F216C0}
        8    0.000    0.000    9.278    1.160 C:\Users\zas47\anaconda3\lib\site-packages\requests\sessions.py:671(send)
       10    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\socket.py:220(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
      244    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\requests\structures.py:51(__getitem__)
      481    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
