         364125 function calls (356761 primitive calls) in 13.916 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      735    0.001    0.000    0.010    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:693(p_decl_body)
        2    0.001    0.000    0.001    0.001 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\response.py:281(release_conn)
     3800    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:165(__getitem__)
      234    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_compile.py:292(_optimize_charset)
      157    0.001    0.000    6.375    0.041 C:\Users\zas47\anaconda3\lib\threading.py:288(wait)
       73    0.001    0.000    6.378    0.087 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_channel.py:795(_next)
     1265    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:180(_is_type_in_scope)
   315/32    0.001    0.000    0.012    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:436(_parse_sub)
        1    0.001    0.001    0.004    0.004 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:705(__exit__)
     5468    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     1798    0.001    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\plyparser.py:42(optrule)
      151    0.001    0.000    6.375    0.042 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_common.py:110(_wait_once)
     2148    0.001    0.000    0.007    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\plyparser.py:125(param_rule)
      719    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:523(p_translation_unit_2)
       16    0.001    0.000    0.135    0.008 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:307(_parse)
     2347    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      712    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:826(p_declaration_specifiers_6)
      759    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:902(p_init_declarator)
     2356    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:255(get)
      701    0.001    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:779(p_declaration_specifiers_no_type_2)
       25    0.001    0.000    6.380    0.255 C:\Users\zas47\anaconda3\lib\site-packages\soniox\speech_service.py:132(TranscribeStream)
        8    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     2223    0.001    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\plyparser.py:20(__init__)
      759    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:893(p_init_declarator_list)
     5439    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
     2285    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:257(lineno)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'grpc._cython.cygrpc.Channel' objects}
      232    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
     2292    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:254(__len__)
      894    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_lexer.py:368(t_NEWLINE)
  895/375    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:81(__hash__)
       43    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        6    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
     2170    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:250(match)
      976    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:868(p_type_specifier)
        1    0.000    0.000    0.010    0.010 C:\Users\zas47\anaconda3\lib\shutil.py:1432(which)
      734    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:161(_add_typedef_name)
     2549    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     1185    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:69(<listcomp>)
     1185    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:68(_get_items)
        1    0.000    0.000    0.000    0.000 {method 'cancel' of 'grpc._cython.cygrpc.IntegratedCall' objects}
       27    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      869    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1149(p_xxx_declarator_1)
     1265    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:199(_lex_type_lookup_func)
       16    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
      963    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:339(<listcomp>)
       10    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\langchain\load\serializable.py:60(__init__)
      224    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_channel.py:811(_response_ready)
      204    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1256(p_pointer)
       10    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000   13.916   13.916 D:\GitHub Repos\salespro\run copy.py:120(main)
    46/38    0.000    0.000    0.015    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:745(_get_struct_union_enum_type)
      735    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:754(p_declaration)
      850    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1143(p_declarator)
      504    0.000    0.000    0.007    0.000 C:\Users\zas47\anaconda3\lib\genericpath.py:16(exists)
     1901    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_ast.py:734(__init__)
     2089    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     1113    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:173(append)
      151    0.000    0.000    0.000    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
   137/20    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       24    0.000    0.000    0.000    0.000 D:\GitHub Repos\salespro\run copy.py:92(split_words)
      735    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:538(p_external_declaration_2)
      701    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:836(p_storage_class_specifier)
        1    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:313(set_defaulted_states)
      230    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1627(p_typedef_name)
      119    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:589(global_cache)
     1000    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_ast.py:994(__init__)
       73    0.000    0.000    6.375    0.087 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_common.py:117(wait)
     1662    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      499    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:576(_extract_quals)
       82    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:268(getuntil)
        1    0.000    0.000    0.047    0.047 C:\Users\zas47\anaconda3\lib\site-packages\pydub\audio_segment.py:644(from_file)
      959    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1922(p_empty)
   290/88    0.000    0.000    0.003    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:56(get_cached_btype)
       28    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       16    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:255(_common_type_names)
       16    0.000    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:189(_preprocess)
      939    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
      716    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:112(__init__)
       72    0.000    0.000    0.018    0.000 C:\Users\zas47\anaconda3\lib\re.py:288(_compile)
       60    0.000    0.000    0.014    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:702(_parse_function_type)
       13    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\util\url.py:210(_encode_invalid_chars)
      933    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:287(tell)
  955/414    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      120    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:207(__init__)
      734    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_ast.py:1014(__init__)
        1    0.000    0.000    5.334    5.334 D:\GitHub Repos\salespro\run copy.py:50(play_agent_response)
       28    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      253    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:85(opengroup)
      234    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_compile.py:265(_compile_charset)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       34    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
        1    0.000    0.000    0.001    0.001 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:3127(get_pfunctions)
     1171    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:161(__len__)
      496    0.000    0.000    0.007    0.000 C:\Users\zas47\anaconda3\lib\shutil.py:1427(_access_check)
      287    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       69    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      150    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1301(p_parameter_list)
      212    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:588(_get_type_pointer)
       76    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_compile.py:437(<listcomp>)
      134    0.000    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1321(p_parameter_declaration_1)
      948    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.008    0.008 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:30(__init__)
       75    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1227(p_direct_xxx_declarator_6)
       73    0.000    0.000    6.378    0.087 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_channel.py:425(__next__)
      773    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       54    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      197    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\threading.py:267(__exit__)
      188    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:433(_uniq)
        2    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
     29/3    0.000    0.000    0.106    0.035 <frozen importlib._bootstrap>:1022(_find_and_load)
       41    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:242(build_backend_type)
     1008    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      892    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
